Name of Organization,Condition(s),Tag,Health Region,City,Address,Postal Code,Contact email,Contact phone number,Contact website,Status,Services offered,Language restriction,Age restriction,Cost,Virtual/In-person,Notes,map,images
ALS Society of BC,Amyotrophic lateral sclerosis (ALS),"Amyotrophic, ALS, Motor Neuron, Progressive, Neuro, Neuromuscular, Spinal Muscular Atrophy, Neurodegenerative",Vancouver Coastal Health,Vancouver,"1228-13351 Commerce Parkway, Richmond, BC V6V 2X7",V6V 2X7,info@alsbc.ca,604-278-2257,https://www.alsbc.ca/programs-services/support-groups/,Active,"Support groups (online and in-person, variety of topics). Receiving an ALS diagnosis is overwhelming and leads to many questions and concerns. Whether you are living with ALS or caring for someone with ALS, there are many challenges and changes to consider. The ALS Society of BC and our provincial partners are here to help. Through fundraising and donations, the ALS Society of BC is able to provide programs and services at no cost to ALS patients and their families; however, patients must be registered to access them. There is no registration fee for ALS Patients.",English,Adults only,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2608.475852883503!2d-123.0748610229447!3d49.172556371376444!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5486757a39c6cc57%3A0x4047d094d07bf203!2sALS%20Society%20of%20BC!5e0!3m2!1sen!2sca!4v1728856372296!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/alssocietyofbc.jpg
Alzheimer Society Vancouver Resource Centre,Dementia,"Dementia, Motor Neuron, Progressive, Neuro, Neuromuscular",Vancouver Coastal Health,Vancouver,828 West 8th Avenue Suite 300 Vancouver BC Canada V5Z 1E2,V5Z 1E2,info.vancouver@alzheimerbc.org,604-675-5150,https://alzheimer.ca/bc/en/node/388,Active,Receiving an ALS diagnosis is overwhelming and leads to many questions and concerns. Whether you are living with ALS or caring for someone with ALS there are many challenges and changes to consider. The ALS Society of BC and our provincial partners are here to help.,English,Adults only,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d5207.292424355565!2d-123.12502592294041!3d49.26415127139001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548673ddfedb36e5%3A0xa64d7ef16102fd1b!2sAlzheimer%20Society%20Of%20B.C.!5e0!3m2!1sen!2sca!4v1728856402387!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/alzheimersociety.jpg
Angel Flight - Cancer Transportation,Cancer,"cancer, malignancy, neoplasm, carcinoma, tumor, tumour, oncology, oncologic, malignant, neoplastic, sarcoma, adenocarcinoma, hematologic, carcinogenic, metastatic, myeloma, transportation, travel, tranport, transfer",All Health Regions,Vancouver,"PO BOX 2623, Sidney, BC",V8L 4C1,angel@angelflight.ca,778-677-8920,https://www.angelflight.ca/,Active,,,,Unknown,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d84327.29488880544!2d-123.55420613652917!3d48.66288281611641!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548f686c08119c77%3A0xd5fee41d90abd152!2sSidney%2C%20BC%20V8L%204C1!5e0!3m2!1sen!2sca!4v1728856452605!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/angelflight.jpg
Arthritis Connections,Arthritis,"joint, rheum, inflammation, arthritis, degenerative, inflammatory, ankylosing spondylitis, arthropathy, connective tissue, chronic, musculoskeletal, pain, inflamation",Vancouver Coastal Health,Vancouver,N/A,N/A,connections@arthritis.ca,N/A,https://arthritis.ca/support-education/support-in-your-community/arthritis-connections,Active,"Education, support groups, helpline",,,Unknown,Both virtual/in-person,,,images/arthritisconnections.jpg
Autism BC,Autism,"autism, ASD, asperger, developmental, neuro, mind, brain, mental, behaviour, emotion, social, disability",Vancouver Coastal Health,Richmond,3688 Cessna Drive,V7B 1C7,n/a,604.434.0880,https://www.autismbc.ca/,Active,"Psychoeducation for caregivers, social events, resources re: autism",none ,Youth and adults,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d5215.270692155622!2d-123.1428331!3d49.188505799999994!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548674d770c1c185%3A0x1c91853f5024d585!2s3688%20Cessna%20Dr%2C%20Richmond%2C%20BC%20V7B%201C7!5e0!3m2!1sen!2sca!4v1728856494903!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/autism.jpg
Balding for Dollars,Blood Cancers,"cancer, blood, hematologic, leukemia, lymphoma, multiple myeloma, MM, hematopoietic, bone marrow, plasma cell, myeloproliferative, lymphatic, myelodysplastic, CLL, ALL, CML, AML, lymphoblastic, myeloid, hodgkin, non-hodgkin, rare",Vancouver Coastal Health,Vancouver,"4480 Oak Street, Vancouver, B.C.",V6H 3V4,trish.shirra@cw.bc.ca,604-875-2345 ext 2497,https://baldingfordollars.com/,Active,"Offers bursaries to childhood cancer survivors (young adults who went through our Oncology/Hematology programs at BCCH), provides education, teen adventures, mom and dad retreats",none,Youth and adults,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d5209.221529062312!2d-123.1302762229412!3d49.24586847138737!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5486738e0ea4ce67%3A0xf3329155e832249f!2sBalding%20for%20Dollars!5e0!3m2!1sen!2sca!4v1728856520864!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/baldingfordollars.jpg
BC Bereavement services,Palliative,,Provincial,,,Provincial,contact@bcbh.ca,"604-738-9950
1-877-779-2223",https://bcbh.ca/,,,,,Unknown,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2603.5470291277356!2d-123.13151492294031!3d49.26603097139036!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5486717a297b89dd%3A0xa532619bc1a27ac1!2sBC%20Bereavement%20Helpline!5e0!3m2!1sen!2sca!4v1728856538635!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/bchelpline.jpg
BC Centre for Ability,Developmental disabilities,"developmental, neuro, mind, behaviour, brain, intellectual, cognitive, child, delay",Vancouver Coastal Health,Vancouver,2805 Kingsway,V5R 5H9,n/a,(604) 451-5511,https://bc-cfa.org/,Active,"Adult employment programs and youth programs (brain injury, family counselling, FASD support, early intervention)",none ,Youth and adults,Free,Both virtual/in-person,,,images/bccentreforability.jpg
BC Centre for Palliative Care,Palliative,,All Health Regions,New Westminster,"300 – 601 Sixth St. 
", V3L 3C1,office@bc-cpc.ca,604-553-4866,https://www.bc-cpc.ca/,,Resrouces on advanced care planning and pallative care.,,,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d5210.142580502261!2d-123.04993802294172!3d49.237137571386036!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548676981566cb2d%3A0xe260a331c526df52!2sBC%20Centre%20for%20Ability!5e0!3m2!1sen!2sca!4v1728873068036!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",
BC Children's Endocrinology,Endocrine,"endocrine, hormonal, gland, endocrinology, signalling, hormone, secretion, pathway",All Health Regions,All,"4480 Oak Street, Room K2-125, ​Children's Ambulatory Care Building, 2nd floor, Area 12, Vancouver BC",V6H 3V4,endocrine@cw.bc.ca,604-875-2117,http://www.bcchildrens.ca/our-services/clinics/endocrinology,Active,"We see infants, children and adolescents with endocrine conditions, include variations and abnormalities of normal growth and puberty, as well as both over- and under-production of thyroid, parathyroid, adrenal, and antidiuretic hormones. The Endocrine Clinic at BCCH also began seeing transgender and gender-questioning youth in 1998 and now has one of the busiest clinics in North America.",English,Youth only,Free,Both virtual/in-person,You need a refe​rral from your child's doctor to visit this clinic.​,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d21336787.791091025!2d-151.50403331168786!3d49.24629332459796!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5486738c37013bb9%3A0x26169f8b0026002e!2sBC%20Women%E2%80%99s%20Hospital%20Ambulatory%20Care%20Centre!5e0!3m2!1sen!2sca!4v1728873153304!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",
BC Diabetes Foundation,Diabetes,"diabetes, sugar, glucose, autoimmune, insulin, glycem, pancreatic, pancreas, endocrine",Vancouver Coastal Health,Vancouver,#400 - 210 W Broadway,V5Y 3W2,info@bcdiabetes.org,604-628-2395,https://www.bcdiabetes.org/,Active,"The BC Diabetes Foundation mission is to optimize care and improve outcomes for British Columbians living with diabetes through activities that alleviate poverty, provide meaningful education and opportunities for research.",English,Youth and adults,Free,Both virtual/in-person,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2603.805663226051!2d-123.12861302294054!3d49.26112927138959!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548673928e52a83b%3A0xcf2b3d2f095e2ed6!2sBC%20Diabetes%20Foundation!5e0!3m2!1sen!2sca!4v1728856045254!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",images/diabetes.jpg
BC End of Life Companions,Palliative,,Provincial,,,Provincial,bcendoflifecompanions@gmail.com,778-772-9558,www.bcendoflifecompanions.com,,,,,Free,Both virtual/in-person,,,
BC Family Residence Program,Cancer,"cancer, malignancy, neoplasm, carcinoma, tumor, tumour, oncology, oncologic, malignant, neoplastic, sarcoma, adenocarcinoma, hematologic, carcinogenic, metastatic, myeloma, housing, accomdation, treatment, apartment, long stay",All Health Regions,Vancouver,N/A,N/A,N/A,"1-866-496-6946 (Accommodation Assistance), 1-877-346-HOPE (4673) - Hope Air",https://www2.gov.bc.ca/gov/content/health/accessing-health-care/tap-bc/bc-family-residence-program,Active,provides accommodation assistance to enable families to stay together when their child requires medical care at BC Children's Hospital or Sunny Hill Health Centre for Children,none,Youth only,Free,Both virtual/in-person,,,
BC Family Residence Program,All ,"family, caregiving, residence, BC, british columbia, residence, housing, living, shelter",Vancouver Coastal Health,Vancouver,N/A,N/A,N/A,"1-866-496-6946 (Accommodation Assistance), 1-877-346-HOPE (4673) - Hope Air",https://www2.gov.bc.ca/gov/content/health/accessing-health-care/tap-bc/bc-family-residence-program,Active,Provides accommodation assistance to enable families to stay together when their child requires medical care at BC Children's Hospital or Sunny Hill Health Centre for Children,none,Youth and adults,Free,In-person only,,,
BC Hospice And Pallative Care Association,Palliative,,All Health Regions,,,Provincial,,,,,,,,Unknown,In-person only,,,
BC Lung Foundation,Lung Disease,"lung, pulmonary, respiratory, chest, bronchial, copd, breathing, breath, oxygen",Provincial,Vancouver,2675 Oak Stree,V6H 2K2,info@bclung.ca,604.731.LUNG (5864),https://bclung.ca/who-we-are-0,Active,Multidisciplinary team preventinvolved in educating on preventing lung disease and promote lung health,,Youth and adults,Free,In-person only,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d650.9415283214566!2d-123.12758907555116!3d49.261878855428435!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x548673c3d1d0dcad%3A0xc72bef8d7533f5d!2sBC%20Lung%20Foundation!5e0!3m2!1sen!2sca!4v1728873200372!5m2!1sen!2sca"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",
